,疾病名称,简介,挂号的科室
4497,微囊肿腺癌,微囊肿腺癌(microcystic adenexa carcinoma)，本病又称硬化汗腺导管癌(sclerosing sweat ductcarcinoma)，颇似汗管瘤，免疫组化研究，管状结构CEA阳性，瘤细胞索、角囊肿和管状结构角蛋白染色均阳性，提示其向毛发和小汗腺分化。,肿瘤科 皮肤科
4498,颞下颌关节紊乱综合征,颞下颌关节紊乱综合症（Temporo-mandibular Joint Dysfunction Syndrome）是口腔颌面部常见的疾病之一。在颞下颌关节疾病中，此病最为多见。好发于青壮年，以20～30岁患病率最高。,口腔科
4499,睡眠呼吸暂停综合征,睡眠呼吸暂停综合征(sleep apnea syndrome，SAS)是指夜间睡眠7h内，口或鼻腔气流持续停止10s以上，并超过30次者。常见病因有鼻中隔偏曲、鼻息肉、鼻咽部腺样体肥大、巨舌症、扁桃体肥大、下颌畸形、慢性阻塞性肺病、肺心病、肥胖呼吸困难嗜睡综合征、肢端肥大症、黏液性水肿、高原红细胞...,呼吸内科 耳鼻喉科
4500,维生素B2缺乏病,维生素B2又名核黄素(riboflavin)，在体内以游离核黄素、黄素单核苷酸(flavin mononucleotide，FMN)和黄素腺嘌呤二核苷酸(flavin adenine dinucleotide，FAD)3种形式存在于组织中。维生素B2缺乏症在临床上主要表现为皮肤黏膜受损的改变。,营养科 皮肤科
4501,外阴-阴道-牙龈综合征,外阴-阴道-牙龈综合征(vulvo-vaginal-gingival syndrome，VVGS)是一种新型的多发性黏膜糜烂性扁平苔藓，由慢性疼痛性糜烂性外阴炎，糜烂性或去角化性阴道炎和糜烂性前庭牙龈炎的三联征所组成的综合征。,妇科 口腔科
4502,黏膜白斑,黏膜白斑病(leukoplakia)是指发生于口腔或外阴等处黏膜的白色角化性疾病。口腔黏膜白斑病多见于中年以上男性，外阴黏膜白斑病多见于闭经后的妇女。临床以病损部的点状、片状或条状灰白或乳白的角化性斑片为特征，具有恶变为鳞状细胞癌的倾向。据估计其恶变率约为2%，最高不过4%～6%。临...,皮肤科 肿瘤科
4503,白塞病,"白塞病(Behcet’s disease, BD)是一种全身性、慢性、血管炎症性疾病，主要临床表现为复发性口腔溃疡、生殖器溃疡、眼炎及皮肤损害，也可累及血管、神经系统、消化道、关节、肺、肾、附睾等器官，大部分患者预后良好，眼、中枢神经及大血管受累者预后不佳。好发于男性青壮年。本病根据其...",风湿科 内科
4504,食管克罗恩病,克罗恩病(Crohnrsquo;s disease)是一种胃肠道的慢性、非特异性的全壁层肉芽肿性炎症，病变呈节段性分布，可累及从口腔到肛门整个消化道的一段或可同时侵犯若干段，病变部位分布中小肠、回肠末段约占90%。食管克罗恩病(Crohnrsquo;s disease of esophagus)广义地讲，是指克罗恩病累及食管...,消化内科
4505,新生儿消化道重复症,消化道重复症(duplication of digestive tract of newborn)是指附着于消化道一侧的，具有和消化道某一部分壁层相同的特征，呈囊肿状或管状空腔结构的先天性畸形。可发生在消化道的任何部位，但以回肠发病最多，其次是食管、结肠、十二指肠、胃、直肠等;均来源于内胚层。大多数在新生儿及...,消化内科 胃肠外科
4506,Machado-Joseph病,Machado-Joseph病(Machado-Joseph’s disease，MJD)是以初发两位患者的姓(Antone Joseph及Machado)命名的，同时又因本病集中于Azores群岛，故又称Azorean病。为常染色体显性遗传性神经系统退化疾病。　　Machado-Joseph病属遗传性脊髓小脑性共济失调中的一种类型(Ⅲ型，SCA3)，以小脑性...,神经内科
4507,小儿非内脂性网状内皮增殖综合征,非内脂性网状内皮增殖综合征(Hand-Schuuml;ller-Christian syndrome)即韩-薛-柯综合征，又称黄脂瘤、黄瘤性肉芽肿、网状内皮肉芽肿、类脂质性肉芽肿、尿崩症-突眼-成骨不全综合征、组织细胞增生症X、Schuuml;ller-Christian综合征、Christian综合征等。本症为组织细胞增生造成颅骨缺损、...,皮肤科 儿科
4508,婴儿成神经细胞瘤,婴儿成神经细胞瘤(infantile neuroblastoma)为幼儿最常见的恶性肿瘤。皮损发生于患本病婴儿的32%。,肿瘤科
4509,尼曼-皮克病,尼曼-皮克病(Niemann-pickrsquo;s disease，NPD)是因鞘磷脂(sphingomyelin)及胆固醇沉积于身体各器官的遗传性代谢病，以年幼儿童多发，具有肝、脾大，眼底黄斑部樱桃红色斑及骨髓涂片中大的泡沫样细胞等主要特征。,内分泌科
4510,小儿半乳糖血症,半乳糖血症（galactosemia ）系半乳糖-1-磷酸尿苷酸转移酶(galactose-1-phosphate uridyl transferase，Gal-1-PUT)缺乏所引起的先天性代谢紊乱性疾病，半乳糖及其氧化还原产物在体内积累，出现肝肿大、白内障等严重症状。,儿科 内科
4511,小儿眼-耳-脊椎综合征,眼—耳—脊椎综合征(oculoauriculovertebral dysplasia syndrome)是一种以眼、耳及颜面、脊柱畸形为主要临床症状的先天性症候群。本综合征60%～70%的病例发生于男孩其临床表现较复杂约10%的病例智力迟钝，而大多数病例只显示部分体征。　　该病征又称Goldenhar综合征、下颌面骨发育不全...,儿科 耳鼻喉科
4512,风疹,"风疹(rubella,German measles)是由风疹病毒引起的一种常见的急性传染病。又称风痧，痧子等 。是儿童常见的一种呼吸道传染病。由于风疹的疹子来得快，去得也快，如一阵风似的，风疹也因此得名。风疹病毒在体外生活力很弱，传染性与麻疹一样强。一般通过咳嗽、谈话或喷嚏等传播。以发热、...",传染科 皮肤科
4513,冠状病毒感染,冠状病毒因其包膜特有的太阳帽状刺突(E1 刺突) 而得名。1975年国际病毒命名委员会正式定名为冠状病毒(Co ro2navirus)。冠状病毒感染是由冠状病毒引起的呼吸道传染病，各年龄组均有发病，儿童多见，以上呼吸道感染为特征，少数可致腹泻、支气管炎、肺炎、胸腔积液等。,呼吸内科 传染科
4514,中东呼吸综合征,MERS病毒是一种新型的冠状病毒，这种病毒已经被命名为MERS(中东呼吸综合征冠状病毒)，　　2013年5月23日，世界卫生组织将该病毒(曾被称为“类SARS病毒”)感染命名为“中东呼吸综合征”。　　MERS冠状病毒于2012年9月首次在沙特被发现，感染者多会出现严重的呼吸系统综合征并伴有急性肾衰...,呼吸内科
4515,副神经节起源的肿瘤,副神经节起源的肿瘤均属于APUD系统肿瘤，分为两类即：有生物活性的肿瘤和无生物活性的肿瘤。无生物活性的肿瘤为非嗜铬副神经节细胞瘤(也称化学感受器瘤)，有生物活性者为嗜铬细胞瘤，二者均可以恶变。,肿瘤科 普外科
4516,产后三冲,指产后因感染，恶露不下等原因引起的三种危重症候。即“败血冲心” ，“败血冲胃”，“败血冲肺”，合称“三冲”，这里的“败血”主要是指当下而不下的恶露。,产科 中医科
4517,老年人上消化道出血,消化道出血(hemorrhage of digestive tract)是来自食道、胃、肠以及胆道、胰管等部位的出血。其中，屈氏(Treitz)韧带以上的食道、胃、十二指肠以及胆道、胰管等部位的出血为上消化道出血，屈氏韧带以下的空肠、回肠、结肠、直肠等部位的出血为下消化道出血;胃-空肠吻合术后的空肠出血归...,消化内科 老年科
4518,胃型哮喘,胃食管反流是消化道疾病的一种表现。由于胃液酸性物的刺激，可导致食管炎、上呼吸道炎等疾病。当胃液吸入气道可引起哮喘发作。动物试验结果表明，即使吸入少量胃液也可刺激气道受体而诱发哮喘。在哮喘患者中，胃食管反流症状的发生率为45%～60%;胃烧灼热感症状约77%，反酸感觉者约55%。...,呼吸内科 消化内科
4519,异尖线虫病,异尖线虫病(anisakiasis)是异尖线虫属第三期幼虫寄生在胃肠道引起的疾病。人因生食含活幼虫的海鱼而感染。急性期临床表现有剧烈腹痛、恶心、呕吐、腹泻等胃肠道症状，伴嗜酸性粒细胞增高;慢性期以胃或肠道嗜酸性肉芽肿为特征，可并发肠梗阻、肠穿孔和腹膜炎。　　本病多见于日本、欧美等...,消化内科 传染科
4520,胃肠道癌皮肤转移,胃肠道癌(gastrointestinal carcinoma)，结肠和直肠癌为第二个最常见原发性肿瘤，而且也是最常转移到皮肤上的内脏肿瘤。大多发生于直肠，占男性皮肤转移癌的11%～19%，女性的1.3%～9%。大肠癌通常在皮肤转移癌之前发现。通常来自胃肠的皮肤转移癌的发病部位为腹壁、会阴和脐部。,肿瘤科
4521,炎性肠病性关节炎相关巩膜炎,Crohn病(Crohn disease，CD)和溃疡性结肠病(ulcerative colitis，UC)统称为炎性肠病(IBD)，是特发性、慢性炎症性肠病，是一类有别于病因明确的炎症性肠病，可伴有周围关节炎和脊柱病变。CD是一种慢性、局灶性、不对称和胃肠道穿壁性肉芽肿性炎症，可发生于消化道的任何部分，最常受累的...,消化内科 眼科
4522,新生儿衣原体感染,沙眼衣原体可感染妊娠妇女的子宫颈并通过受染母亲的产道感染新生儿，在新生儿引起结膜炎和肺炎。衣原体(chlamydia)是一种近似于细菌的病原微生物。,呼吸内科 儿科
4523,烟酸缺乏神经病,烟酸通常是指烟酸(尼克酸，Nicotinic acid)、烟酰胺(尼克酰胺)和其他具生物活性的吡啶衍生物。烟酸缺乏病又称尼克酸缺乏症，也称糙皮病(癞皮病)和Pellagra病，1937年发现烟酸缺乏是本病的病因。人类机体可合成内源性烟酸，但必需外源性摄入才能避免烟酸缺乏。本病的发生与烟酸、烟酰胺、...,神经内科 营养科
4524,小儿利斯特菌病,利斯特菌病(listeriosis)又译为李司忒菌病，是由单核细胞增多性李斯特菌[或译为产单核细胞性利斯特菌病(listeria monocytogenes)]引起的急性传染病。患者多在免疫功能低下时感染发病，多见于新生儿及免疫缺陷儿童。　　利斯特菌病是李斯单胞菌所致感染。利斯特菌有3个菌种，仅单核细胞增...,神经内科 儿科
4525,上睑下垂,眼皮下垂，又称上睑下垂，是指提起上眼睑的肌肉功能部分或全部丧失，以致上睑部分或完全不能上提，当双眼平视前方时，上眼睑遮盖角膜上缘超过2mm以上。提上睑的肌肉有提上睑肌和Mler氏肌，提上睑肌由动眼神经支配，Mler氏肌受颈交感神经支配，当这二个肌肉的功能不全或丧失时，就会出现...,眼科
4526,蓝色橡皮泡痣综合症,蓝色橡皮泡痣综合征（Blue Rubber Bleb Nevus Syndrome）是指存在于皮肤和胃肠道两方面的海绵状或毛细血管状血管瘤。1958年由Bean首先描述，故称Bean综合征。本征系胚胎期分化发育障碍所致，为常染色体显性遗传性疾病。,血管外科
4527,肛管、直肠、结肠狭窄,肛管直肠和结肠狭窄可由先天性畸形、炎症、外伤、肿瘤和手术创伤等原因引起。结肠狭窄除先天性畸形和损伤造成外，多数是结肠切除术后以及溃疡性结肠炎、肉芽肿性结肠炎等的并发症。,外科 儿科
4528,壶腹周围癌,壶腹周围癌(vater ampulla carcinoma，VPC)乏特氏壶腹周围癌，系指乏特氏壶腹、胆总管下端、胰管开口处、十二指肠乳头及其附近的十二指肠粘膜等处的癌肿。这些来源不同的肿瘤，由于其所在的特殊解剖部位，有着相同的临床表现，手术时也难以将其截然分开，故常作为一个类型，统称为壶腹周...,肿瘤科 肝胆外科
4529,餐后血糖过低症,又称餐后迟发型倾倒综合征。是指胃切除后胃排空过速，葡萄糖迅速被肠粘膜吸收，致血糖骤然增高，刺激胰岛过多分泌胰岛素而出现的一系列低血糖症。,消化内科 内分泌科
4530,小儿急性喉气管支气管炎,急性喉气管支气管炎(acute laryngotracheobronchitis)是指由病毒或细菌感染所致的喉、气管、支气管急性弥漫性炎症。以喉部及声带下水肿、气管支气管渗出物稠厚成痂以及中毒症状为特征。多见于5岁以下婴幼儿，以2岁左右幼儿的发病率最高。男性发病率较女性高。该病常发生于寒冷季节。常在...,儿科 呼吸内科
4531,急性左心衰,急性心力衰竭是由于突然发生心脏结构和功能的异常，导致短期内心排血量显著、急剧降低，组织器官灌注不足和受累心室后向的静脉急性淤血。,心血管内科
4532,鼻疽,鼻疽病是由鼻疽伯克霍尔德菌所致的传染病。原系马、骡及驴等单蹄兽类较为多发的一种传染病，人因接触病畜或染有致病菌的物品而受感染。临床表现主要为急性发热，呼吸道、皮肤、肌肉等处出现蜂窝织炎、坏死、脓肿和肉芽肿。有些呈慢性经过，间歇性发作，病程迁延可达数年之久。公元前330...,呼吸内科 消化内科
4533,原藻病,原藻病(Protothecosis)是无绿藻引起人皮肤、皮下组织、口腔、鼻、浆膜等处感染。偶可引起系统性感染。目前归为类真菌病。,皮肤科
4534,小儿遗传性慢性进行性肾炎,遗传性肾炎又称Alports syndrome(AS)，属一种家族性慢性进行性肾炎，临床特征以血尿为主，部分病例可表现为蛋白尿或肾病综合征。常伴有神经性听力障碍及进行性肾功能减退。且近10年来随着分子生物学的迅猛发展，对于AS的研究已进入分子水平和基因水平，现今在其遗传方式、临床表现、病理...,儿科 肾内科
4535,三叉神经营养性损害,三叉神经营养性损害(trigeminal trophic lesions)亦称三叉神经营养综合征。为三叉神经支配的皮肤或黏膜感觉缺乏而产生营养性溃疡等病变。,神经内科 皮肤科
4536,小儿迪格奥尔格综合征,迪格奥尔格综合征(DGS)与染色体22q11缺陷有关，应该视为最严重的一组临床疾病的总和，以各单词首个字母缩写为ldquo;CATCHrdquo;22综合征，意思为由于22q11缺失所致的心脏缺损(Cardiac)，面部异常(Abnormal)，胸腺发育不全(Thymic)，上颚畸形(Cleft)和血钙降低(Hypocalcemia)。,儿科 心血管内科
4537,银屑病关节炎及其伴发的葡萄膜炎,银屑病性关节炎(psoriatic arthritis)是一种血清阴性(即血清类风湿因子阴性)的关节炎，典型地表现为慢性、复发性、良性丘疹鳞屑性的皮肤损害、指(趾)甲损害，慢性、复发性、侵蚀性的多关节炎[周围和(或)脊椎关节]和以前葡萄膜炎、结膜炎为主要病变的眼部损害。,眼科 皮肤科
4538,先天性血管萎缩性皮肤异色症,先天性血管萎缩性皮肤异色症(congenital poikiloderma atrophicans vasculare syndrome)又称Rothmund-Thomson综合征。其主症为皮肤萎缩、棕红色色素沉着、毛细血管扩张，伴有先天性白内障。,皮肤科
4539,假性肠梗阻,假性肠梗阻(intestinal pseudo-obstruction IPO)是由于神经抑制、毒素刺激或肠壁平滑肌本身的病变，导致的肠壁肌肉运动功能紊乱，临床具有肠梗阻的症状和体征，但无肠内外机械性肠梗阻因素存在，故又称动力性肠梗阻，是无肠腔阻塞的一种综合征。按病程有急性和慢性之分，麻痹性肠梗阻和...,消化内科 胃肠外科
4540,胰高糖素瘤综合征,胰高糖素瘤综合征(glucagonoma syndrome)又称坏死松解性游走性红斑(necrolyticmigratory erythema)是以反复发生坏死松解性游走性红斑、口炎、体重下降、糖尿为特征，并常伴发分泌高血糖素的仅胰腺细胞肿瘤的综合征，约80%的肿瘤为恶性，半数可有转移。皮损往往先于肿瘤数年出现，病因尚...,皮肤科 内分泌科
4541,胰腺囊性纤维性变,胰腺囊性纤维性变又名黏滞病(mucouscidosis)，是一种婴幼儿和青少年的遗传性胰腺疾病，实则为多个外分泌腺功能失常的复合表现(complex symptom)，所涉及的器官包括胰腺、肺、肝、肠、汗腺等。1936年Fanconi首次对3例本病作出描述，并命名为胰腺囊性纤维性变。,消化内科
4542,皮脂腺异位症,皮脂腺异位症又称Fordyce病，是一种皮脂腺疾病，该病是由于皮脂腺发育的生理性变型和皮脂腺增生所致。该部位病变特征为无明显隆起皮肤的粟粒大小扁平丘疹状损害，群集分布，损害多无自觉症状，一般不需要治疗；少数患者并发感染、过敏等，引起瘙痒、疼痛等表现，进行针对治疗即可。,皮肤科
4543,小儿传染性单核细胞增多症,传染性单核细胞增多症(传单)是一种由EB病毒引起的以侵犯淋巴系统为主的急性感染性疾病。临床表现为发热、咽峡炎、淋巴结肿大“三联征”。血中淋巴细胞增多并有异型淋巴。血清中可检出EB病毒抗体。,儿科 血液科
4544,小儿再发性腹痛,再发性腹痛(recurrent abdominal pain，RAP)是症状诊断，一般指发作性腹痛，3个月内至少有3次发作，发作严重时可影响小儿正常活动，而在发作间歇期，表现正常。　　一般儿科人群的发病率稍10%，男女儿童之比为3：4。RAP在4~5岁以前少见，最多发生在8~10岁儿童。女孩到青春期可出现第2个...,儿科 消化内科
4545,巨细胞动脉炎和风湿性多肌痛,巨细胞动脉炎(giant cell arteritis，GCA)，是一种以侵犯颅动脉为主的系统性血管炎综合征。在19世纪，Jonathon Hutchinson首次描述了一位因颞动脉触痛而致戴帽困难的男性患者，此后逐渐明确了GCA的临床特点，它是一种慢性肉芽肿性血管炎。早年发现的巨细胞动脉炎病例几乎都是颞动脉受累...,风湿科 中西医结合科
4546,老年人缺血性心肌病,缺血性心肌病(ischemic cardiomyopathy，ICM)是指由于长期心肌缺血导致心肌局限性或弥漫性纤维化，从而产生收缩和(或)舒张功能受损，引起心脏扩大或僵硬、充血性心力衰竭、心律失常等一系列临床表现的综合征。,心血管内科 老年科
4547,小儿支气管扩张,支气管扩张系支气管因反复感染及分泌物阻塞或先天性发育缺陷等因素，造成管壁破坏、变形和扩张的一种慢性化脓性疾病。病变一般为不可逆性，进展较慢。约50%的成人患者，症状常起自小儿时期，主要表现为经常发热，咳嗽，多痰、甚至咯血，近年由于加强呼吸道感染疾病的防治，以及抗生素的...,儿科 呼吸内科
4548,胃切除后吸收不良综合征,大多数胃切除病人恢复较好，但胃切除后病人吸收不良、营养不良、体重下降常见，出现胃切除后吸收不良综合征(postgastrectomy malabsorption syndrome)。,消化内科
4549,新生儿肛门和直肠畸形,肛门和直肠畸形(malformation of anus and rectum of newborn) 其发病率在新生儿中为1∶1500～5000，占消化道畸形的首位。男性多于女性，有一定的家族关系。高位畸形在男性约占50%，女性占20%。常以低位肠梗阻而就诊，严重影响患儿生命。,肛肠外科 儿科
4550,小儿脂肪吸收不良,脂肪吸收不良又称脂肪泻(steatorrhea)，是由于脂肪的消化和吸收不良所致的综合征，可在多种疾病中见到，如胰、肝、胆及肠道疾病。　　由于肠道病变引起的脂肪泻，多同时伴有其他多种营养素的吸收不良，称之谓吸收不良综合征。,儿科 消化内科
4551,小儿波-杰综合征,波-杰综合征，又称皮肤黏膜色素斑-胃肠道多发性息肉综合征(Peutz-Jeghers syndrome)。指胃肠道有散在息肉，同时口周及手足有多发黑色素痣。　　此病少见，男女发病率相等，约有一半病例有家族史。,儿科 外科
4552,曲霉病,曲霉病是指由致病曲霉引起的皮肤、指甲、外耳道、眼眶、支气管、肺、骨及脑膜等慢性炎症性病变。近来证明某些曲霉毒素可致癌。感染部位常出现肉芽肿、坏死、化脓等表现。,呼吸内科 消化内科
4553,显微镜下多血管炎,显微镜下多血管炎(microscopic polyangiitis，MPA)是一种主要累及小血管的系统性坏死性血管炎，可侵犯肾脏、皮肤和肺等脏器的小动脉、微动脉、毛细血管和小静脉。常表现为坏死性肾小球肾炎和肺毛细血管炎。1948年，Davson等首次提出在结节性多动脉炎中存在一种以节段性坏死性肾小球肾炎...,风湿科 血管外科
4554,小儿急性呼吸窘迫综合征,急性呼吸窘迫综合征(acute respiratory distress syndrome， ARDS)又名休克肺综合征，是在抢救或治疗的过程中发生以肺微循环障碍为主的急性呼吸窘迫和低氧血综合征。它是肺对不同情况下严重损伤时的非特异性反应，其特征是严重的进行性呼吸衰竭，尽管吸入高浓度氧仍不能纠正。近年来虽由...,儿科 呼吸内科
4555,小儿潮红综合征,潮红综合征(flushing syndrome)是指人体在食用鲭鱼后，由于鲭鱼体内所含毒素而引起的一组症候群。临床上以颜面、颈部、躯干等处皮肤潮红为主要特征。该病征又称为油筒鱼综合征。,皮肤科 儿科
4556,小儿贾第虫病,蓝氏贾第鞭毛虫病现通称贾第虫病(giardiasis)，是由蓝氏贾第鞭毛虫(giardia lambila)寄生在人体小肠引起的原虫性疾患。临床上以腹泻、腹痛及腹胀等为主要表现，并可引起胆囊炎、胆管炎及肝脏损害。本病除地方性流行外，还可导致水源性暴发性流行。在旅游者中感染也很常见。,消化内科 儿科
4557,A链球菌群感染,A链球菌群(group A streptococci)又称化脓性链球菌(streptococcus pyogenes)，A链球菌群呈乙型溶血反应，故过去称其为乙型溶血性链球菌(β-hemolytic streptococcus)，是人类细菌感染中最重要的病原之一。引起的感染主要有急性咽炎、急性扁桃体炎，也可致肺部感染、猩红热、皮肤软组织感...,呼吸内科 传染科
4558,自身免疫性甲状腺疾病相关肾病,自身免疫性甲状腺病(autoimmune thyroid disease，AITD)包括Graves病、甲状腺炎和原发性甲状腺功能减退症。据国内外学者报道，AITD患者蛋白尿的发生率为11%～40%，所以也称为AITD肾病。,内分泌科 肾内科
4559,过敏性血管炎和肉芽肿病,过敏性血管炎和肉芽肿病即变应性肉芽肿(allergic granulomatosis，AG)也称过敏性肉芽肿或过敏性肉芽肿性血管炎。是一种以肺内及系统性小血管炎症、血管外肉芽肿及高嗜酸粒细胞血症为特点的一种自身免疫性肉芽肿性血管炎。是以哮喘、嗜酸性粒细胞增多和血管外肉芽肿形成为特征的血管炎性...,风湿科 中西医结合科
4560,小儿热带嗜酸性粒细胞增多症,热带嗜酸性粒细胞增多症(tropical eosinophilia)是以嗜酸性粒细胞增多为主要表现的临床综合征，这类嗜酸性粒细胞增多与一些热带病，主要是寄生虫病和寄生虫感染有关，是肺嗜酸性粒细胞增多症(pulmonary eosinophilia)的一种类型。,呼吸内科 儿科
4561,显微型多血管炎,显微型多血管炎(microscopic polyangitis，MPA)为小血管受累型系统性血管炎。临床表现与PAN相类似，特征表现为急进性肾小球肾炎(RPGN)和肺部受累而与PAN有所不同。经典型PAN主要侵犯中小动脉，如果病变累及更小的动静脉和毛细血管，则排除经典PAN而归入MPA。其临床特征是肺-肾血管炎，血...,心血管内科
4562,肝肾综合征,肝肾综合征(hepatorenal syndrome，HRS)是严重肝病患者病程后期出现的以进行性少尿或无尿、血尿素氮及肌酐升高等为主要表现，但肾脏病理检查无明显器质性病变的一种进行性、功能性的肾功能不全。,肝病 肾内科
4563,奔豚气,奔豚是指病人自觉有气从少腹上冲胸咽的一种病证。由于气冲如豚之奔突，故名奔豚气。西医的神经官能症、冠心病等有类似症状者。,中医科 心血管内科
4564,肝性脊髓病,肝性脊髓病(hepatic myelopathy)又称门-腔分流性脊髓病，是肝病并发的一种特殊类型的神经系统并发症，以缓慢进行性痉挛性截瘫为特征，脊髓侧索和后索脱髓鞘病理改变为主。多见于手术或自然形成门-腔循环分流，大多数病例与肝性脑病并存，往往脊髓症状被严重的脑病的意识及运动障碍所掩盖...,肝病 神经内科
4565,小儿囊性纤维性变,囊性纤维性变(cystic fibrosis，CF)又称黏滞病或黏液黏稠病(mucovisicidosis)，是儿童和成人的一种全身外分泌腺功能紊乱的常染色体隐性遗传病。本病可累及多系统，主要侵犯呼吸道和消化道，其中，发病率和死亡率最高的是肺部病变，可占大约95%。CF是一种与黏稠的黏液分泌、吸收不良及感...,儿科 呼吸内科
4566,川崎病,川崎病(Kawasaki diseaes)又称皮肤粘膜淋巴结综合症(muco-cuta-meous lymph node syndrome，MCLS)，是一种以全身血管炎变为主要病变的小儿急性发热性出疹性疾病。1967年日本川崎富作医生首次报道。由于本病可发生严重心血管病变，所以引起人们的重视。近年发病增多，1990年北京儿童医院...,儿科 心血管内科
4567,小儿丘疹性肢皮炎综合征,本病由Gianotti于1955年首先报道，1957年Crosti又作了报道，故此病又称Gianotti-Crosti综合征。主要特征为肢端红斑性丘疹、浅表淋巴结肿大、无黄疸型肝炎。本病又称小儿无痒性肢端皮炎。,皮肤科 儿科
4568,错构瘤,错构瘤是指机体某一器官内正常组织在发育过程中出现错误的组合、排列，因而导致的类瘤样畸形。 错构瘤不是真性肿瘤，该瘤生长缓慢，随机体的发育生长而增大，但增大到一定程度即可停止，和机体之间是协调的，极少恶变。也有少数学者认为错构瘤是真性肿瘤（如：肾血管平滑肌脂肪瘤），而不...,肿瘤科
4569,四川并殖吸虫病,斯氏肺吸虫病(paragonimiasis skrjabini)又称四川并殖吸虫病，是由斯氏肺吸虫(Paragonimus skrjabini)寄生人体所致，其蚴虫游走于人体各处，容易引起皮下组织器官的坏死性、过敏性、炎症性、囊肿性病变。临床表现主要为皮下游走性囊肿性结节。　　斯氏肺吸虫在四川、云南、陕西等14个省...,消化内科 传染科
4570,非特异性系统性坏死性小血管炎,非特异性系统性坏死性小血管炎(nonspecific systemic small vessel necrotizing vasculitis SVN)，既往亦称显微镜下多发性微小动脉炎(microscopic polyarteritis)，现国际通用的病名为显微镜下多发性血管炎(microscopic polyangiitis MPA)，它是一种较常见的坏死性血管炎，在血管炎性疾...,血管外科
4571,叶酸缺乏症,叶酸缺乏症是指由于叶酸摄入不足或吸收不良引起的以巨幼红细胞性贫血为特征的临床综合征。,营养科 血液科
4572,成人斯蒂尔病,斯蒂尔病是一种血清阴性的多关节炎，为幼年类风湿关节炎的一种。最早由斯蒂尔(1897)报道，其临床特征有长期不规则发热，伴有肝、脾、淋巴结肿大，贫血，白细胞增多，多发性大、中、小关节炎，肌肉病变等。本病在临床表现和病理上都与成人类风湿关节炎不同。其全身症状较突出，类风湿因子...,风湿科 骨科
4573,小儿急性淋巴细胞性白血病,小儿急性淋巴细胞性白血病(pediatric acute lymphoblastic leukemia )是最常见的儿童肿瘤性疾病，是指前体B、T或成熟B淋巴细胞发生克隆性异常增殖所致的恶性疾病。急性淋巴细胞性白血病占儿童急性白血病的80%，发病率高峰在3岁至7岁之间。近40年来，特别是20世纪80年代以后，对儿童ALL的...,儿科 血液科
4574,费尔蒂综合征,费尔蒂(Felty)综合征首先由Felty(1924)报道，其特点为类风湿关节炎合并脾肿大和白细胞减少，与普通型类风湿关节炎不同。Hanrakar等(1932)把具有类风湿关节炎、脾肿大和白细胞减少三个主症的疾病称为费尔蒂综合征。至今已报道许多病例，多数认为本综合征是类风湿关节炎的亚型。近年已明确...,风湿科 骨科
4575,血尿,正常的尿液含有极少量的红细胞。中段尿离心后沉渣在显微镜下每个高倍视野可有红细胞0～2个，如果超过此数，即为血尿。,肾内科 泌尿外科
4576,支原体尿路感染,泌尿及生殖道支原体感染称为支原体尿路感染。支原体(Mycoplasma)是一群介于细菌与病毒之间、目前所知能独立生活的最小微生物。近来，生殖器支原体(M.genitalium，MG)的致病性引起了重视。,泌尿外科
4577,急性肾炎,急性肾小球肾炎(acute glomerulonephritis)，即急性感染后肾小球肾炎(acute postinfectious glomerulonephritis)，临床表现为急性起病，以血尿、蛋白尿、高血压、水肿、少尿及氮质血症为特点的肾小球疾病。,肾内科
4578,过敏性紫癜肾炎,过敏性紫癜(anaphylactoid purpura)也称为出血性毛细血管中毒症，是一种毛细血管变态反应性出血性疾病，可能与血管的自体免疫损伤有关。临床特点除紫癜外，常有皮疹及血管神经性水肿、关节炎、腹痛及肾炎等症状。临床上将过敏性紫癜所引起的肾脏损害称为过敏性紫癜肾炎。,肾内科
4579,小儿过敏性紫瘢,过敏性紫癜于19世纪30年代和70年代由许兰氏和亨变压诺氏先后描述，故又名许兰-亨诺氏血管炎(Schonlein-Henoch vasculitis)。　　本病属过敏性血管炎范围，是最常见的毛细血管变态反应性疾病，以广泛的小血管炎症为病理基础，皮肤紫癜、消化道粘膜出血、关节肿胀和肾炎等症状为其主要临床...,内科 儿科
4580,膀胱输尿管反流,膀胱输尿管反流是指由于先天性或后天性的原因而使输尿管膀胱壁段失去了抗反流的作用，当尿流积聚或逼尿肌收缩而膀胱内压力增高时，尿流从膀胱内倒流入输尿管甚至肾盂内。这些原因包括膀胱输尿管连接部活瓣作用先天性不全或继发于尿路梗阻及神经源性膀胱功能障碍。,泌尿外科
4581,类风湿性关节炎的肾损害,类风湿性关节炎(rheumatoid arthritis，RA)是一种慢性、系统性炎性疾患，一般认为是遗传、感染等因素诱发机体的自身免疫反应而致病。主要表现为双侧对称性手指关节肿痛伴晨僵，病久可致关节畸形及功能障碍，主要死亡原因为感染、心血管病及肾损害。,肾内科 风湿科
